Emetteur,Exercice,Date_paiement,Date_ex_dividende,Dividende_net,Prix_action,Rendement,Date_scraping
AIR LIQUIDE CI,2016.0,2017-09-29,2017-09-27,630.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA BF,2016.0,2017-05-04,2017-04-30,6930.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA BF,2017.0,2018-05-07,2018-05-03,358.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA BF,2018.0,2019-05-02,2019-04-29,366.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA BF,2019.0,2020-05-04,2020-04-29,370.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA BF,2020.0,2021-05-03,2021-04-29,370.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA BF,2021.0,2022-05-04,2022-04-29,448.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA BF,2022.0,2023-05-05,2023-05-03,577.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA BF,2023.0,2024-05-06,2024-05-02,704.0,0.0,0.0,19/03/2026 12:51
BANK OF AFRICA BF,2024.0,2025-04-22,2025-04-17,428.0,0.0,0.0,19/03/2026 12:35
BANK OF AFRICA BF,,2018-05-07,,358.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA BN,2017.0,2017-05-15,2017-05-12,8941.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA BN,2018.0,2019-05-22,,416.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA BN,2019.0,2019-05-22,2019-05-20,416.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA BN,2020.0,2021-05-20,2021-05-18,436.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA BN,2021.0,2022-05-25,2022-05-23,546.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA BN,2022.0,2023-05-25,2023-05-23,627.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA BN,2023.0,2024-05-27,2024-05-23,706.0,0.0,0.0,19/03/2026 12:51
BANK OF AFRICA BN,2024.0,2025-06-03,2025-05-30,468.0,0.0,0.0,19/03/2026 16:57
BANK OF AFRICA BN,2024,2025-06-03,2025-05-30,468.0,0.0,0.0,19/03/2026 18:28
BANK OF AFRICA CI,2016.0,2017-05-08,2017-05-05,5480.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA CI,2017.0,2018-06-06,2018-06-04,295.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA CI,2018.0,2019-05-20,2019-05-16,306.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA CI,2019.0,2020-06-15,2020-06-11,315.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA CI,2020.0,2021-05-12,2021-05-10,315.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA CI,2021.0,2022-04-28,2022-04-26,374.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA CI,2022.0,2023-04-28,2023-04-26,540.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA CI,2023.0,2024-04-29,2024-04-25,684.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA CI,2024.0,2025-05-20,2025-05-16,469.0,0.0,0.0,19/03/2026 12:35
BANK OF AFRICA ML,2016.0,2017-05-02,2017-04-28,2790.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA ML,2017.0,2018-05-31,2018-05-29,290.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA ML,2018.0,2019-05-15,2019-05-13,271.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA ML,2023.0,2024-05-21,2024-05-16,144.0,0.0,0.0,19/03/2026 12:51
BANK OF AFRICA ML,2024.0,2025-06-03,2025-05-30,237.5,0.0,0.0,19/03/2026 16:57
BANK OF AFRICA ML,2024,2025-06-03,2025-05-30,237.5,0.0,0.0,19/03/2026 18:28
BANK OF AFRICA ML,,2019-05-15,2019-05-13,271.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA NG,2016.0,2017-05-19,2017-05-16,4910.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA NG,2017.0,2018-05-31,2018-05-29,379.44,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA NG,2018.0,2019-05-27,2019-05-23,385.95,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA NG,2019.0,2020-05-20,2020-05-18,429.66,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA NG,2020.0,2021-05-06,2021-05-04,429.66,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA NG,2021.0,2022-05-12,2022-05-10,567.3,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA NG,2022.0,2023-05-25,2023-05-23,613.8,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA NG,2023.0,2024-05-31,2024-05-29,609.15,0.0,0.0,19/03/2026 12:51
BANK OF AFRICA NG,2024.0,2025-06-03,2025-05-30,209.25,0.0,0.0,19/03/2026 16:57
BANK OF AFRICA NG,2024,2025-06-03,2025-05-30,209.25,0.0,0.0,19/03/2026 18:28
BANK OF AFRICA SN,2015.0,2016-08-01,2016-07-28,750.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA SN,2016.0,2017-05-15,2017-05-12,1000.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA SN,2017.0,2018-05-02,2018-04-27,0.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA SN,2018.0,2019-06-03,,160.0,0.0,0.0,19/03/2026 11:57
BANK OF AFRICA SN,2019.0,2020-06-19,2020-06-17,161.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA SN,2020.0,2021-06-01,2021-05-28,161.01,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA SN,2021.0,2022-06-01,2022-05-30,161.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA SN,2022.0,2023-06-01,2023-05-30,187.5,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA SN,2023.0,2024-06-27,2024-06-25,300.0,0.0,0.0,19/03/2026 11:56
BANK OF AFRICA SN,2024.0,2025-06-02,2025-05-28,350.0,0.0,0.0,19/03/2026 12:35
BERNABE CI,2015.0,2016-07-08,2016-07-06,5500.0,0.0,0.0,19/03/2026 11:57
BERNABE CI,2016.0,2017-07-11,2017-07-07,3252.0,0.0,0.0,19/03/2026 11:57
BERNABE CI,2017.0,2018-07-25,2018-07-23,63.0,0.0,0.0,19/03/2026 11:57
BERNABE CI,2018.0,2019-07-19,2019-07-17,45.0,0.0,0.0,19/03/2026 11:56
BERNABE CI,2022.0,2023-07-24,2023-07-20,150.0,0.0,0.0,19/03/2026 11:56
BICI CI,2015.0,2016-07-20,2016-07-18,4231.5,27100.0,15.61,19/03/2026 11:57
BICI CI,2016.0,2017-07-24,2017-07-20,2771.41,27100.0,10.23,19/03/2026 11:57
BICI CI,2017.0,2018-07-02,2018-06-28,213.56,27100.0,0.79,19/03/2026 11:57
BICI CI,2018.0,2019-07-17,2019-07-15,182.9,27100.0,0.67,19/03/2026 11:56
BICI CI,2020.0,2021-07-06,2021-07-02,50.0,27100.0,0.18,19/03/2026 11:56
BICI CI,2021.0,2022-07-15,2022-07-13,518.0,27100.0,1.91,19/03/2026 11:56
BICI CI,2022.0,2023-07-31,2023-07-27,401.4,27100.0,1.48,19/03/2026 11:56
BICI CI,2023.0,2024-06-27,2024-06-25,540.9,27100.0,2.0,19/03/2026 11:56
BICI CI,2024.0,2025-05-23,2025-05-21,944.0,26250.0,3.6,19/03/2026 12:35
BIIC,2024.0,2025-09-15,2025-09-11,254.6,5150.0,4.94,19/03/2026 16:57
BIIC,2024,2025-09-15,2025-09-11,254.6,5200.0,4.9,19/03/2026 18:28
BOLLORE TRANSPORT & LOGISTICS,2015.0,2016-06-28,2016-06-24,9581.0,1700.0,563.59,19/03/2026 17:28
BOLLORE TRANSPORT & LOGISTICS,2016.0,2017-07-13,2017-07-11,8997.0,1750.0,514.11,19/03/2026 11:57
BOLLORE TRANSPORT & LOGISTICS,2018.0,2019-06-06,2019-06-03,184.0,1750.0,10.51,19/03/2026 11:57
BOLLORE TRANSPORT & LOGISTICS,2019.0,2020-12-18,2020-12-16,100.0,1700.0,5.88,19/03/2026 17:35
BOLLORE TRANSPORT & LOGISTICS,2020.0,2021-08-11,2021-08-09,100.0,1750.0,5.71,19/03/2026 11:56
BOLLORE TRANSPORT & LOGISTICS,2021.0,2022-06-23,2022-06-21,130.0,1750.0,7.43,19/03/2026 11:56
BOLLORE TRANSPORT & LOGISTICS,2022.0,2023-11-20,2023-11-16,92.0,1750.0,5.26,19/03/2026 11:56
BOLLORE TRANSPORT & LOGISTICS,2023.0,2024-12-12,2024-12-10,92.0,1765.0,5.21,19/03/2026 12:35
